,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
66,-18,0,343.3,103.9,0.7,238.7,,,,2935,0,17,184.3,101.4,1,81.9
67,-18,0,334.9,100.9,0.7,233.3,,,,2936,0,17,184.6,99.8,1,83.8
68,-18,0,341.5,103.6,0.5,237.4,,,,2937,0,19,180.2,98.5,1.6,80.1
69,-18,8,301,101.5,0.6,198.9,,,,2938,0,19,184.3,100.6,1.1,82.6
70,-18,8,299.5,102.4,0.7,196.4,,,,2939,0,19,174.4,97.2,1.3,75.9
71,-18,8,294.4,99.3,0.6,194.5,,,,2940,0,3,236.6,103.3,0.5,132.8
72,-18,11,295.1,102.6,0.5,191.9,,,,2941,0,3,235.2,102.3,0.3,132.5
73,-18,11,287.7,101.2,0.6,185.9,,,,2942,0,3,239.8,104.4,0.7,134.8
74,-18,11,298.8,104.9,0.7,193.3,,,,2943,0,12,217.4,108.2,0.5,108.6
75,-18,12,280.6,100.6,0.4,179.6,,,,2944,0,12,196.9,102.6,0.8,93.5
76,-18,12,285.4,101.1,0.5,183.9,,,,2945,0,12,198.7,103.5,0.8,94.4
77,-18,12,280.2,99.8,0.6,179.8,,,,2946,0,0,261.7,105.2,0.5,156
78,-18,9,300.3,103.6,0.5,196.2,,,,2947,0,0,251.9,103,0.6,148.2
79,-18,9,294.7,101.6,0.5,192.6,,,,2948,0,0,250.6,103.1,0.6,146.9
80,-18,9,296.7,103.7,0.5,192.5,,,,2949,0,8,209.6,100.6,0.9,108.1
81,-18,19,267.6,99.8,0.5,167.3,,,,2950,0,8,223.7,106.5,0.6,116.6
82,-18,19,266.9,97.6,0.8,168.5,,,,2951,0,8,227.5,106.9,0.4,120.1
83,-18,19,258.7,96.8,0.4,161.5,,,,2952,0,11,202.2,101.6,1.4,99.2
84,-18,2,323.3,101.4,0.7,221.2,,,,2953,0,11,207.8,104.7,0.8,102.3
85,-18,2,332.9,103.3,0.8,228.8,,,,2954,0,11,209.2,104.6,1,103.6
86,-18,2,330.2,102,0.8,227.4,,,,2955,0,12,208.6,105.7,0.7,102.1
87,-18,1,331.5,101.2,0.5,229.9,,,,2956,0,12,195.2,101.7,0.8,92.7
88,-18,1,344.1,104.8,0.4,238.9,,,,2957,0,12,203.3,103.8,0.6,98.9
89,-18,1,342.1,105,0.7,236.5,,,,2958,0,9,213.2,104,0.7,108.4
90,-18,5,317.2,102.2,0.4,214.6,,,,2959,0,9,221.3,107.5,0.8,113
91,-18,5,312,102.1,0.4,209.5,,,,2960,0,9,215.7,104.8,0.5,110.4
92,-18,5,337.6,108.8,0.5,228.3,,,,2961,0,19,180.2,100.4,1.2,78.6
93,-18,13,279,101.9,0.7,176.5,,,,2962,0,19,178.4,101.4,1.3,75.7
94,-18,13,268.6,98.1,0.8,169.7,,,,2963,0,19,177.9,98.4,1.4,78.2
95,-18,13,271.8,99.1,0.7,172.1,,,,2964,0,2,248.5,104.4,0.6,143.5
96,-18,14,280.1,102.1,0.5,177.6,,,,2965,0,2,248.1,105.7,0.6,141.9
97,-18,14,275.6,99.3,0.6,175.7,,,,2966,0,2,236.4,101.1,0.7,134.6
