,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
131,[],5,6959.1,0.0,0.5,6958.6
132,[],5,7287.5,0.0,0.7,7286.8
133,[],5,7659.4,0.0,0.4,7659.0
134,[],5,7139.8,0.0,0.5,7139.3
135,[],2,7121.7,0.0,0.7,7121.1
136,[],2,7161.6,0.0,0.6,7161.0
137,[],2,6814.6,0.0,0.7,6813.9
138,[],2,7141.2,0.0,0.5,7140.8
139,[],2,7378.4,0.0,0.7,7377.7
140,[],2,7398.8,0.0,0.8,7398.0
141,[],2,7159.3,0.0,0.7,7158.6
142,[],2,7781.3,0.0,0.6,7780.6
143,[],2,7588.8,0.0,0.5,7588.3
144,[],2,7140.9,0.0,0.8,7140.1
145,[],2,7046.6,0.0,0.7,7045.9
146,[],2,7111.5,0.0,0.5,7111.0
147,[],2,7060.4,0.0,0.7,7059.7
148,[],2,6954.7,0.0,0.7,6954.0
149,[],2,7506.0,0.0,0.6,7505.4
150,[],3,6561.9,0.0,0.9,6561.0
151,[],3,7370.2,0.0,0.7,7369.5
152,[],3,7090.0,0.0,0.8,7089.3
153,[],3,7247.6,0.0,0.5,7247.1
154,[],3,7198.7,0.0,0.5,7198.2
155,[],3,7328.7,0.0,1.0,7327.7
156,[],3,6970.4,0.0,0.4,6970.0
157,[],3,7185.5,0.0,0.4,7185.0
158,[],3,7312.2,0.0,0.5,7311.6
159,[],3,7301.6,0.0,0.6,7301.1
160,[],3,7490.8,0.0,0.4,7490.4
161,[],3,7492.1,0.0,0.6,7491.5
162,[],3,6887.7,0.0,0.5,6887.2
163,[],3,6914.6,0.0,0.6,6914.0
164,[],3,7102.7,0.0,0.6,7102.1
165,[],1,7234.4,0.0,0.8,7233.6
166,[],1,7194.2,0.0,1.0,7193.2
167,[],1,7054.1,0.0,0.8,7053.3
168,[],1,6857.3,0.0,0.6,6856.7
169,[],1,7129.7,0.0,0.4,7129.3
170,[],1,6915.3,0.0,0.8,6914.5
171,[],1,7216.1,0.0,0.5,7215.7
172,[],1,6760.2,0.0,0.8,6759.3
173,[],1,7020.6,0.0,1.0,7019.6
174,[],1,6919.5,0.0,0.8,6918.8
175,[],1,7144.7,0.0,0.5,7144.1
176,[],1,7447.2,0.0,0.3,7447.0
177,[],1,7287.4,0.0,0.6,7286.8
178,[],1,7515.8,0.0,0.5,7515.3
179,[],1,7188.9,0.0,0.8,7188.0
180,[],3,7048.9,0.0,0.7,7048.1
181,[],3,7483.8,0.0,0.6,7483.2
182,[],3,7271.5,0.0,0.7,7270.7
183,[],3,7119.4,0.0,0.7,7118.7
184,[],3,7539.6,0.0,0.8,7538.8
185,[],3,7567.7,0.0,0.6,7567.1
186,[],3,7073.3,0.0,0.7,7072.6
187,[],3,6666.4,0.0,0.7,6665.7
188,[],3,7487.4,0.0,0.6,7486.8
189,[],3,7196.2,0.0,0.4,7195.7
190,[],3,7708.5,0.0,0.7,7707.8
191,[],3,7457.3,0.0,0.6,7456.7
192,[],3,7081.3,0.0,0.5,7080.8
193,[],3,7020.2,0.0,0.8,7019.3
194,[],3,7345.0,0.0,0.6,7344.5
195,[],0,6999.9,0.0,0.5,6999.4
196,[],0,7267.5,0.0,0.6,7266.9
197,[],0,7047.3,0.0,0.8,7046.5
198,[],0,7554.8,0.0,0.8,7553.9
199,[],0,7462.3,0.0,0.5,7461.8
200,[],0,6788.4,0.0,0.5,6788.0
201,[],0,6963.9,0.0,0.4,6963.5
202,[],0,7196.6,0.0,0.8,7195.8
203,[],0,7421.8,0.0,0.6,7421.2
204,[],0,7691.0,0.0,0.5,7690.5
205,[],0,6944.9,0.0,0.5,6944.4
206,[],0,7140.3,0.0,0.8,7139.5
207,[],0,7296.5,0.0,0.5,7296.0
208,[],0,6890.6,0.0,0.7,6889.9
209,[],0,7148.8,0.0,0.4,7148.4
210,[],0,7032.1,0.0,0.6,7031.5
211,[],0,7360.1,0.0,0.6,7359.5
212,[],0,7285.8,0.0,0.8,7285.0
213,[],0,7000.9,0.0,1.0,6999.9
214,[],0,7247.9,0.0,0.5,7247.3
