,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
248,91,3,166.9,101.7,65.2,0.0
249,91,1,169.1,109.2,60.0,0.0
250,91,1,168.3,108.8,59.5,0.0
251,91,1,168.8,108.7,60.1,0.0
252,91,4,170.6,106.0,64.5,0.0
253,91,4,170.5,107.0,63.5,0.0
254,91,4,169.4,104.0,65.4,0.0
255,91,2,169.6,108.2,61.4,0.0
256,91,2,168.0,106.0,62.0,0.0
257,91,2,168.9,106.6,62.2,0.0
258,91,1,167.8,106.9,60.9,0.0
259,91,1,169.9,110.0,59.9,0.0
260,91,1,168.7,109.9,58.9,0.0
261,91,4,171.4,108.0,63.3,0.0
262,91,4,170.1,105.5,64.7,0.0
263,91,4,170.0,105.5,64.4,0.0
264,91,4,172.1,108.9,63.2,0.0
265,91,4,169.6,106.4,63.3,0.0
266,91,4,168.9,104.6,64.3,0.0
267,91,1,165.6,104.2,61.4,0.0
268,91,1,167.7,106.4,61.3,0.0
269,91,1,169.6,109.9,59.8,0.0
270,98,0,174.0,108.4,65.6,0.0
271,98,0,173.2,107.2,66.0,0.0
272,98,0,173.6,106.0,67.6,0.0
273,98,0,174.4,109.4,65.0,0.0
274,98,0,175.2,109.5,65.7,0.0
275,98,0,175.7,110.3,65.4,0.0
276,98,3,175.1,104.2,70.9,0.0
277,98,3,177.7,108.0,69.7,0.0
278,98,3,176.3,106.4,69.9,0.0
279,98,1,174.2,105.8,68.3,0.0
280,98,1,176.9,111.1,65.8,0.0
281,98,1,174.6,106.8,67.9,0.0
282,98,4,175.9,104.4,71.5,0.0
283,98,4,177.4,106.6,70.8,0.0
284,98,4,181.5,112.2,69.2,0.0
285,98,2,175.9,107.3,68.6,0.0
286,98,2,177.9,110.4,67.5,0.0
287,98,2,176.5,109.0,67.6,0.0
288,98,1,176.1,108.8,67.3,0.0
289,98,1,174.3,106.9,67.4,0.0
290,98,1,173.9,106.5,67.3,0.0
291,98,4,177.8,107.0,70.8,0.0
292,98,4,177.9,106.6,71.3,0.0
293,98,4,176.1,105.2,70.9,0.0
294,98,4,179.3,109.2,70.1,0.0
295,98,4,175.1,102.3,72.9,0.0
296,98,4,178.2,106.3,71.9,0.0
297,98,1,173.8,105.3,68.5,0.0
298,98,1,176.1,109.4,66.7,0.0
299,98,1,176.7,110.6,66.1,0.0
